"DIR";"lat";"long"
"AV. DIEZ CANSECO 400";-12,1220939;-77,0244716
"CA. CHICLAYO 200";-12,1148693;-77,0309266
"AV. PETIT THOUARS 5100";-12,1134593;-77,0287711
"AV. ANGAMOS OESTE 1000";-12,1141395;-77,0392525
"AV. CMDTE. ESPINAR 700";-12,0946137;-77,076911
"AV. PETIT THOUARS 5200";-12,1146135;-77,028533
"AV. JOSE LARCO 600";-12,1229985;-77,0291957
"AV. PASEO DE LA REP. 5600";-12,1202708;-77,0257875
"CA. GENERAL RECAVARREN 200";-12,1206084;-77,0336952
"AV. ANGAMOS OESTE 100";-12,1138217;-77,0303317
"AV. DIEZ CANSECO 200";-12,1313533;-77,0169191
"CA. ENRIQUE PALACIOS 1000";-12,1170944;-77,0388223
"AV. ALFREDO BENAVIDES 400";-12,1243926;-77,0296975
"CA. GENERAL SUAREZ 900";-12,1532169;-77,0086011
"CA. FRANCIA 500";-12,1222497;-77,0360935
"CA. ALCANFORES 500";-12,1241656;-77,0278816
"AV. PASEO DE LA REP. 4700";-12,1126627;-77,0263384
"CA. LOS PINOS 100";-12,1233614;-77,0305759
"CA. ATAHUALPA 200";-12,1181344;-77,0303323
"AV. OSCAR R. BENAVIDES 400";-12,0679205;-76,989225
"AV. ANGAMOS OESTE 400";-12,1138011;-77,0319594
"CA. GENERAL SILVA 100";-12,1229964;-77,0214719
"AV. FEDERICO VILLAREAL 100";-12,0951755;-77,0312559
"AV. JOSE LARCO 200";-12,1197955;-77,0289309
"AV. PETIT THOUARS 5000";-12,112674;-77,0288509
"CA. SCHELL 200";-12,1227511;-77,0301671
"CA. JUAN FANNING 500";-12,1296715;-77,0300644
"CA. JOSE GALVEZ 100";-12,1227601;-77,0319646
"AV. ANGAMOS ESTE 100";-12,1112576;-76,9961252
"AV. PETIT THOUARS 5500";-12,1181611;-77,0281753
"CA. DIEZ CANSECO 200";-12,1221174;-77,0272493
"CA. SAN MARTIN 400";-12,1256273;-77,0304766
"AV. ANGAMOS OESTE 200";-12,1138477;-77,0310251
"CA. JUAN FANNING 400";-12,1291577;-77,031406
"AV. ALFREDO BENAVIDES 300";-12,1244166;-77,0303261
"MLCON. 28 DE JULIO 300";-12,1257102;-77,0332792
"AV. ANGAMOS OESTE 1100";-12,1141688;-77,0397864
"CA. BOLOGNESI 500";-12,0907349;-77,075363
"AV. ANGAMOS OESTE 800";-12,1112614;-76,9961845
"AV. JORGE CHAVEZ 700";-12,1248615;-77,0369385
"AV. SANTA CRUZ 200";-12,1048482;-77,0327063
"MLCON. DE LA MARINA 200";-12,1184358;-77,0443538
"CA. GRIMALDO DEL SOLAR 100";-12,1222541;-77,0258362
"AV. JOSE PARDO 200";-12,119207;-77,0324867
"AV. CMDTE. ESPINAR 400";-12,0955693;-77,0744363
"CA. CORONEL INCLAN 500";-12,1150511;-77,0313858
"CA. SCHELL 100";-12,1225352;-77,0312172
"AV. CMDTE. ESPINAR 500";-12,095218;-77,0754304
"AV. OSCAR R. BENAVIDES 500";-12,0679205;-76,989225
"AV. JOSE LARCO 900";-12,1265457;-77,0295038
"CA. ENRIQUE PALACIOS 400";-12,1169229;-77,0325995
"CA. BELLAVISTA 200";-12,1206161;-77,0319545
"AV. ANGAMOS OESTE 900";-12,1112619;-76,9961929
"CA. ALCANFORES 400";-12,1230986;-77,0278045
"AV. GENERAL CORDOVA 800";-12,1114458;-77,0462117
"CA. GENERAL SUAREZ 300";-12,1532169;-77,0086011
"AV. JOSE PARDO 100";-12,1192073;-77,0324071
"AV. SANTA CRUZ 1200";-12,1149933;-77,0406044
"CA. BERLIN 300";-12,1214645;-77,0325506
"CA. JOSE SABOGAL 200";-12,1190994;-77,011862
"AV. PETIT THOUARS 5400";-12,1170563;-77,0281694
"CA. PORTA 200";-12,1279868;-77,0221407
"CA. TORIBIO PACHECO 300";-12,1150283;-77,0460676
"AV. AREQUIPA 4700";-12,0923902;-77,0335459
"AV. OSCAR R. BENAVIDES 300";-12,0670448;-76,98981
"CA. ATAHUALPA 100";-12,1188065;-77,0302871
"AV. RICARDO PALMA 300";-12,1191993;-77,0269006
"AV. ALFREDO BENAVIDES 700";-12,1250533;-77,0256067
"AV. ANGAMOS ESTE 400";-12,1112592;-76,9961506
"CA. JUAN FANNING 300";-12,1286837;-77,0328105
"CA. MANUEL TOVAR 100";-12,114869;-77,0429233
"AV. RICARDO PALMA 100";-12,1190363;-77,028641
"CA. JOSE OLAYA 100";-12,1194391;-77,0302233
"CA. JOSE GALVEZ 700";-12,1212033;-77,0366885
"AV. PETIT THOUARS 4700";-12,1096104;-77,0295189
"CA. SCHELL 300";-12,1229171;-77,0293612
"CA. TORRETAGLE 300";-12,1215886;-77,0298912
"CA. PORTA 100";-12,1278907;-77,022166
"CA. ENRIQUE PALACIOS 600";-12,116902;-77,0346588
"CA. BOLOGNESI 100";-12,0930273;-77,0688819
"CA. BOLOGNESI 700";-12,0907414;-77,0753451
"CA. PIURA 500";-12,1158839;-77,0333414
"AV. CMDTE. ESPINAR 300";-12,1170016;-77,0370578
"CA. 07 DE JUNIO 100";-12,1826696;-76,9604111
